TIPO; Nova OSO; PDFs - Faixa Horaria
B   ; 4767    ; FH 1001 4767
D   ; 4767-01 ; FH 1001-01 4767-01
B   ; 4768    ; FH 1035 4768
B   ; 4769    ; FH 1118 4769
D   ; 4769-01 ; FH 1118-01 4769-01
D   ; 4769-02 ; FH 1118-02 4769-02
B   ; 4770    ; FH 1123 4770
B   ; 4771    ; FH 1145 4771
B   ; 4772    ; FH 1158 4772
B   ; 4773    ; FH 1159 4773
B   ; 4774    ; FH 1334 4774
D   ; 4774-01 ; FH 1334-01 4774-01
D   ; 4774-02 ; FH 1334-02 4774-02
B   ; 4775    ; FH 1357 4775
D   ; 4775-01 ; FH 1357-01 4775-01
D   ; 4775-02 ; FH 1357-02 4775-02
B   ; 4776    ; FH 1386 4776
D   ; 4776-02 ; FH 1386-02 4776-02
D   ; 4776-03 ; FH 1386-03 4776-03
B   ; 4777    ; FH 1413 4777
B   ; 4778    ; FH 1425 4778
D   ; 4778-05 ; FH 1425-05 4778-05
