FaixaInicio;FaixaFinal;Intervalo;Percurso;TempTerm;Frota;Linha;Dia;Sentido;Oso;LinhaOso
;;;;;;;;;474400;010100
;;;;;;;;;418000;011600
;;;;;;;;;479300;013600
;;;;;;;;;479301;013601
;;;;;;;;;418200;013700
;;;;;;;;;418201;013701
;;;;;;;;;418202;013702
;;;;;;;;;445600;013800
;;;;;;;;;445602;013802
;;;;;;;;;479400;014000
;;;;;;;;;479402;014002
;;;;;;;;;445800;014100
;;;;;;;;;476200;014200
;;;;;;;;;473500;030100
;;;;;;;;;473501;030101
;;;;;;;;;473503;030103
;;;;;;;;;455900;031000
;;;;;;;;;455901;031001
;;;;;;;;;455906;031006
;;;;;;;;;418600;033100
;;;;;;;;;418603;033103
;;;;;;;;;469000;033200
;;;;;;;;;473600;033300
;;;;;;;;;463500;033900
;;;;;;;;;456200;034100
;;;;;;;;;418900;035400
;;;;;;;;;443300;040000
;;;;;;;;;443301;040301
;;;;;;;;;443302;040302
;;;;;;;;;468500;041700
;;;;;;;;;468600;043100
;;;;;;;;;468601;043101
;;;;;;;;;468602;043102
;;;;;;;;;456300;051800
;;;;;;;;;469300;070800
;;;;;;;;;469302;070802
;;;;;;;;;469304;070804
;;;;;;;;;474500;080500
;;;;;;;;;377600;090300
;;;;;;;;;377601;090301
;;;;;;;;;377602;090302
;;;;;;;;;456400;093300
;;;;;;;;;456401;093301
;;;;;;;;;476700;100100
;;;;;;;;;476701;100101
;;;;;;;;;456600;100500
;;;;;;;;;456601;100501
;;;;;;;;;456602;100502
;;;;;;;;;456700;100700
;;;;;;;;;456701;100701
;;;;;;;;;456702;100702
;;;;;;;;;456703;100703
;;;;;;;;;456704;100704
;;;;;;;;;456705;100705
;;;;;;;;;476300;102400
;;;;;;;;;476304;102404
;;;;;;;;;456800;102600
;;;;;;;;;456801;102601
;;;;;;;;;456802;102602
;;;;;;;;;476800;103500
;;;;;;;;;454400;103600
;;;;;;;;;454401;103601
;;;;;;;;;454402;103602
;;;;;;;;;428400;104200
;;;;;;;;;428401;104201
;;;;;;;;;405300;104800
;;;;;;;;;469400;105400
;;;;;;;;;469401;105401
;;;;;;;;;469402;105402
;;;;;;;;;378100;106700
;;;;;;;;;443000;106900
;;;;;;;;;443001;106901
;;;;;;;;;457000;107300
;;;;;;;;;457001;107301
;;;;;;;;;457002;107302
;;;;;;;;;419800;110200
;;;;;;;;;405400;110300
;;;;;;;;;476900;111800
;;;;;;;;;476901;111801
;;;;;;;;;476902;111802
;;;;;;;;;477000;112300
;;;;;;;;;473700;113000
;;;;;;;;;473703;113003
;;;;;;;;;457200;113100
;;;;;;;;;465300;113300
;;;;;;;;;465302;113302
;;;;;;;;;443900;113400
;;;;;;;;;476400;113700
;;;;;;;;;457400;114100
;;;;;;;;;457401;114101
;;;;;;;;;473800;114200
;;;;;;;;;473802;114202
;;;;;;;;;465400;114300
;;;;;;;;;465500;114400
;;;;;;;;;465501;114401
;;;;;;;;;477100;114500
;;;;;;;;;465700;114600
;;;;;;;;;397000;114900
;;;;;;;;;479000;115000
;;;;;;;;;479001;115001
;;;;;;;;;479002;115002
;;;;;;;;;465800;115400
;;;;;;;;;393700;115600
;;;;;;;;;393701;115601
;;;;;;;;;393702;115602
;;;;;;;;;465900;115700
;;;;;;;;;465901;115701
;;;;;;;;;465902;115702
;;;;;;;;;477200;115800
;;;;;;;;;477300;115900
;;;;;;;;;397300;116200
;;;;;;;;;476500;116300
;;;;;;;;;436300;120300
;;;;;;;;;436302;120302
;;;;;;;;;389900;120400
;;;;;;;;;389901;120401
;;;;;;;;;389902;120402
;;;;;;;;;457800;120600
;;;;;;;;;457900;121100
;;;;;;;;;442800;121400
;;;;;;;;;458000;121500
;;;;;;;;;458002;121502
;;;;;;;;;474800;122500
;;;;;;;;;453300;122900
;;;;;;;;;453301;122901
;;;;;;;;;475700;123000
;;;;;;;;;475701;123001
;;;;;;;;;435900;123100
;;;;;;;;;435901;123101
;;;;;;;;;474000;123400
;;;;;;;;;474001;123401
;;;;;;;;;445000;123500
;;;;;;;;;445001;123501
;;;;;;;;;445003;123503
;;;;;;;;;466300;123700
;;;;;;;;;433700;123900
;;;;;;;;;469600;124500
;;;;;;;;;469700;124600
;;;;;;;;;469800;124700
;;;;;;;;;469802;124702
;;;;;;;;;458400;124800
;;;;;;;;;458401;124801
;;;;;;;;;458500;124900
;;;;;;;;;433600;125000
;;;;;;;;;433601;125001
;;;;;;;;;475800;130300
;;;;;;;;;441600;130700
;;;;;;;;;474100;130800
;;;;;;;;;474101;130801
;;;;;;;;;474102;130802
;;;;;;;;;458700;130900
;;;;;;;;;458701;130901
;;;;;;;;;458702;130902
;;;;;;;;;475100;131000
;;;;;;;;;405700;131700
;;;;;;;;;475900;132000
;;;;;;;;;469500;132100
;;;;;;;;;469501;132101
;;;;;;;;;469502;132102
;;;;;;;;;469900;132400
;;;;;;;;;476000;132700
;;;;;;;;;470600;132800
;;;;;;;;;477400;133400
;;;;;;;;;477401;133401
;;;;;;;;;477402;133402
;;;;;;;;;435400;133800
;;;;;;;;;466500;133900
;;;;;;;;;476100;134000
;;;;;;;;;475500;134100
;;;;;;;;;463600;134600
;;;;;;;;;470100;134700
;;;;;;;;;477500;135700
;;;;;;;;;477501;135701
;;;;;;;;;477502;135702
;;;;;;;;;470200;136300
;;;;;;;;;466800;136500
;;;;;;;;;466801;136501
;;;;;;;;;466802;136502
;;;;;;;;;466803;136503
;;;;;;;;;459300;136700
;;;;;;;;;468900;137200
;;;;;;;;;468901;137201
;;;;;;;;;468902;137202
;;;;;;;;;405900;137400
;;;;;;;;;467000;138300
;;;;;;;;;477600;138600
;;;;;;;;;477602;138602
;;;;;;;;;477603;138603
;;;;;;;;;467200;138800
;;;;;;;;;470500;138900
;;;;;;;;;406000;139700
;;;;;;;;;406100;139800
;;;;;;;;;468200;139900
;;;;;;;;;468201;139901
;;;;;;;;;468202;139902
;;;;;;;;;468203;139903
;;;;;;;;;459400;140300
;;;;;;;;;441800;140500
;;;;;;;;;477700;141300
;;;;;;;;;459600;141900
;;;;;;;;;459601;141901
;;;;;;;;;477800;142500
;;;;;;;;;477805;142505
;;;;;;;;;474200;146800
;;;;;;;;;474201;146801
;;;;;;;;;389400;170100
;;;;;;;;;455100;170200
;;;;;;;;;455101;170201
;;;;;;;;;455102;170202
