FaixaInicio; FaixaFinal; Intervalo; Percurso; TempTerm; Frota; Linha; Dia; Sentido; Tipo; NovaOso
       0440;       0440;         0;      162;        5;     1;  1001; Sab;       0; B   ; 4767-00
       0515;       0530;        15;      170;        5;     3;  1001; Sab;       0; D   ; 4767-01
       0544;       0551;         7;      171;        5;     5;  1001; Sab;       0; B   ; 4768-00
       0605;       0612;         7;      171;        5;     7;  1001; Sab;       0; B   ; 4769-00
       0626;       0633;         7;      171;        5;     9;  1001; Sab;       0; D   ; 4769-01
       0650;       0700;        10;      185;        5;    11;  1001; Sab;       0; D   ; 4769-02
       0725;       0740;        15;      191;        5;    13;  1001; Sab;       0; B   ; 4770-00
       0810;       0825;        15;      203;        5;    13;  1001; Sab;       0; B   ; 4771-00
       0855;       0910;        15;      221;        5;    13;  1001; Sab;       0; B   ; 4772-00
       0940;       0955;        15;      199;        5;    13;  1001; Sab;       0; B   ; 4773-00
       1025;       1040;        15;      199;        5;    13;  1001; Sab;       0; B   ; 4774-00
       1110;       1125;        15;      194;        5;    11;  1001; Sab;       0; D   ; 4774-01
       1155;       1210;        15;      204;        5;    10;  1001; Sab;       0; D   ; 4774-02
       1240;       1255;        15;      187;        5;    10;  1001; Sab;       0; B   ; 4775-00
       1325;       1340;        15;      185;        5;    10;  1001; Sab;       0; D   ; 4775-01
       1410;       1425;        15;      185;        5;    10;  1001; Sab;       0; D   ; 4775-020445   
       1455;       1510;        15;      191;        5;    10;  1001; Sab;       0; B   ; 4776-00
       1540;       1555;        15;      192;        5;    10;  1001; Sab;       0; D   ; 4776-02
       1625;       1640;        15;      187;        5;    10;  1001; Sab;       0; D   ; 4776-03
       1710;       1725;        15;      183;        5;    10;  1001; Sab;       0; B   ; 4777-00
       1755;       1810;        15;      175;        5;    10;  1001; Sab;       0; B   ; 4778-00
       1910;       1940;        30;      163;        5;     8;  1001; Sab;       0; D   ; 4778-05
       2040;       2140;        60;      163;        5;     3;  1001; Sab;       0;     ; 
       0500;       0537;        37;      162;        5;     2;  1035; Sab;       0;     ; 
       0558;       0640;        21;      162;        5;     5;  1035; Sab;       0;     ; 
       0710;       1225;        45;      175;        5;     6;  1035; Sab;       0;     ; 
